"Povpreène meseène bruto plaèe (EUR) po statistiènih regijah prebivališèa, starostnih skupinah in spolu, Slovenija, letno"

"STATISTIÈNA REGIJA";"STAROST";"SPOL";"MERITVE";"LETO";Povpreène meseène bruto plaèe (EUR)
"Pomurska";"55-64 let";"Moški";"Povpreèje";"2019";1823
"Pomurska";"55-64 let";"Ženske";"Povpreèje";"2008";1576
"Pomurska";"55-64 let";"Ženske";"Povpreèje";"2009";1832
"Pomurska";"55-64 let";"Ženske";"Povpreèje";"2010";1922
"Pomurska";"55-64 let";"Ženske";"Povpreèje";"2011";1858
"Pomurska";"55-64 let";"Ženske";"Povpreèje";"2012";1779
"Pomurska";"55-64 let";"Ženske";"Povpreèje";"2013";1687
"Pomurska";"55-64 let";"Ženske";"Povpreèje";"2014";1735
"Pomurska";"55-64 let";"Ženske";"Povpreèje";"2015";1702
"Pomurska";"55-64 let";"Ženske";"Povpreèje";"2016";1714
"Pomurska";"55-64 let";"Ženske";"Povpreèje";"2017";1714
"Pomurska";"55-64 let";"Ženske";"Povpreèje";"2018";1734
"Pomurska";"55-64 let";"Ženske";"Povpreèje";"2019";1836
"Pomurska";"65 let ali veè";"Moški";"Povpreèje";"2008";3924
"Pomurska";"65 let ali veè";"Moški";"Povpreèje";"2009";3721
"Pomurska";"65 let ali veè";"Moški";"Povpreèje";"2010";3302
"Pomurska";"65 let ali veè";"Moški";"Povpreèje";"2011";3803
"Pomurska";"65 let ali veè";"Moški";"Povpreèje";"2012";z
"Pomurska";"65 let ali veè";"Moški";"Povpreèje";"2013";z
"Pomurska";"65 let ali veè";"Moški";"Povpreèje";"2014";3820
"Pomurska";"65 let ali veè";"Moški";"Povpreèje";"2015";z
"Pomurska";"65 let ali veè";"Moški";"Povpreèje";"2016";z
"Pomurska";"65 let ali veè";"Moški";"Povpreèje";"2017";z
"Pomurska";"65 let ali veè";"Moški";"Povpreèje";"2018";z
"Pomurska";"65 let ali veè";"Moški";"Povpreèje";"2019";3518
"Pomurska";"65 let ali veè";"Ženske";"Povpreèje";"2008";z
"Pomurska";"65 let ali veè";"Ženske";"Povpreèje";"2009";z
"Pomurska";"65 let ali veè";"Ženske";"Povpreèje";"2010";z
"Pomurska";"65 let ali veè";"Ženske";"Povpreèje";"2011";z
"Pomurska";"65 let ali veè";"Ženske";"Povpreèje";"2012";z
"Pomurska";"65 let ali veè";"Ženske";"Povpreèje";"2013";z
"Pomurska";"65 let ali veè";"Ženske";"Povpreèje";"2014";z
"Pomurska";"65 let ali veè";"Ženske";"Povpreèje";"2015";z
"Pomurska";"65 let ali veè";"Ženske";"Povpreèje";"2016";z
"Pomurska";"65 let ali veè";"Ženske";"Povpreèje";"2017";z
"Pomurska";"65 let ali veè";"Ženske";"Povpreèje";"2018";z
"Pomurska";"65 let ali veè";"Ženske";"Povpreèje";"2019";3545
"Podravska";"15-64 let";"Moški";"Povpreèje";"2008";1382
"Podravska";"15-64 let";"Moški";"Povpreèje";"2009";1403
"Podravska";"15-64 let";"Moški";"Povpreèje";"2010";1464
"Podravska";"15-64 let";"Moški";"Povpreèje";"2011";1521
"Podravska";"15-64 let";"Moški";"Povpreèje";"2012";1546
"Podravska";"15-64 let";"Moški";"Povpreèje";"2013";1553
"Podravska";"15-64 let";"Moški";"Povpreèje";"2014";1588
"Podravska";"15-64 let";"Moški";"Povpreèje";"2015";1599
"Podravska";"15-64 let";"Moški";"Povpreèje";"2016";1630
"Podravska";"15-64 let";"Moški";"Povpreèje";"2017";1684
"Podravska";"15-64 let";"Moški";"Povpreèje";"2018";1756
"Podravska";"15-64 let";"Moški";"Povpreèje";"2019";1825
"Podravska";"15-64 let";"Ženske";"Povpreèje";"2008";1292
"Podravska";"15-64 let";"Ženske";"Povpreèje";"2009";1374
"Podravska";"15-64 let";"Ženske";"Povpreèje";"2010";1425
"Podravska";"15-64 let";"Ženske";"Povpreèje";"2011";1455
"Podravska";"15-64 let";"Ženske";"Povpreèje";"2012";1473
"Podravska";"15-64 let";"Ženske";"Povpreèje";"2013";1468
"Podravska";"15-64 let";"Ženske";"Povpreèje";"2014";1495
"Podravska";"15-64 let";"Ženske";"Povpreèje";"2015";1499
"Podravska";"15-64 let";"Ženske";"Povpreèje";"2016";1529
"Podravska";"15-64 let";"Ženske";"Povpreèje";"2017";1569
"Podravska";"15-64 let";"Ženske";"Povpreèje";"2018";1604
"Podravska";"15-64 let";"Ženske";"Povpreèje";"2019";1688
"Podravska";"15-24 let";"Moški";"Povpreèje";"2008";900
"Podravska";"15-24 let";"Moški";"Povpreèje";"2009";893
"Podravska";"15-24 let";"Moški";"Povpreèje";"2010";952
"Podravska";"15-24 let";"Moški";"Povpreèje";"2011";995
"Podravska";"15-24 let";"Moški";"Povpreèje";"2012";1009
"Podravska";"15-24 let";"Moški";"Povpreèje";"2013";1024
"Podravska";"15-24 let";"Moški";"Povpreèje";"2014";1055
"Podravska";"15-24 let";"Moški";"Povpreèje";"2015";1072
"Podravska";"15-24 let";"Moški";"Povpreèje";"2016";1113
"Podravska";"15-24 let";"Moški";"Povpreèje";"2017";1143
"Podravska";"15-24 let";"Moški";"Povpreèje";"2018";1216
"Podravska";"15-24 let";"Moški";"Povpreèje";"2019";1285
"Podravska";"15-24 let";"Ženske";"Povpreèje";"2008";808
"Podravska";"15-24 let";"Ženske";"Povpreèje";"2009";860
"Podravska";"15-24 let";"Ženske";"Povpreèje";"2010";918
"Podravska";"15-24 let";"Ženske";"Povpreèje";"2011";956
"Podravska";"15-24 let";"Ženske";"Povpreèje";"2012";959
"Podravska";"15-24 let";"Ženske";"Povpreèje";"2013";955
"Podravska";"15-24 let";"Ženske";"Povpreèje";"2014";950
"Podravska";"15-24 let";"Ženske";"Povpreèje";"2015";965
"Podravska";"15-24 let";"Ženske";"Povpreèje";"2016";966
"Podravska";"15-24 let";"Ženske";"Povpreèje";"2017";1027
"Podravska";"15-24 let";"Ženske";"Povpreèje";"2018";1058
"Podravska";"15-24 let";"Ženske";"Povpreèje";"2019";1122
"Podravska";"25-34 let";"Moški";"Povpreèje";"2008";1229
"Podravska";"25-34 let";"Moški";"Povpreèje";"2009";1239
"Podravska";"25-34 let";"Moški";"Povpreèje";"2010";1279
"Podravska";"25-34 let";"Moški";"Povpreèje";"2011";1312
"Podravska";"25-34 let";"Moški";"Povpreèje";"2012";1323
"Podravska";"25-34 let";"Moški";"Povpreèje";"2013";1318
"Podravska";"25-34 let";"Moški";"Povpreèje";"2014";1346
"Podravska";"25-34 let";"Moški";"Povpreèje";"2015";1348
"Podravska";"25-34 let";"Moški";"Povpreèje";"2016";1371
"Podravska";"25-34 let";"Moški";"Povpreèje";"2017";1419
"Podravska";"25-34 let";"Moški";"Povpreèje";"2018";1508
"Podravska";"25-34 let";"Moški";"Povpreèje";"2019";1578
"Podravska";"25-34 let";"Ženske";"Povpreèje";"2008";1136
"Podravska";"25-34 let";"Ženske";"Povpreèje";"2009";1187
"Podravska";"25-34 let";"Ženske";"Povpreèje";"2010";1234
"Podravska";"25-34 let";"Ženske";"Povpreèje";"2011";1258
"Podravska";"25-34 let";"Ženske";"Povpreèje";"2012";1272
"Podravska";"25-34 let";"Ženske";"Povpreèje";"2013";1256
"Podravska";"25-34 let";"Ženske";"Povpreèje";"2014";1263
"Podravska";"25-34 let";"Ženske";"Povpreèje";"2015";1246
"Podravska";"25-34 let";"Ženske";"Povpreèje";"2016";1276
"Podravska";"25-34 let";"Ženske";"Povpreèje";"2017";1295
"Podravska";"25-34 let";"Ženske";"Povpreèje";"2018";1346
"Podravska";"25-34 let";"Ženske";"Povpreèje";"2019";1402
"Podravska";"35-44 let";"Moški";"Povpreèje";"2008";1425
"Podravska";"35-44 let";"Moški";"Povpreèje";"2009";1445
"Podravska";"35-44 let";"Moški";"Povpreèje";"2010";1509
"Podravska";"35-44 let";"Moški";"Povpreèje";"2011";1568
"Podravska";"35-44 let";"Moški";"Povpreèje";"2012";1600
"Podravska";"35-44 let";"Moški";"Povpreèje";"2013";1601
"Podravska";"35-44 let";"Moški";"Povpreèje";"2014";1624
"Podravska";"35-44 let";"Moški";"Povpreèje";"2015";1634
"Podravska";"35-44 let";"Moški";"Povpreèje";"2016";1666
"Podravska";"35-44 let";"Moški";"Povpreèje";"2017";1718
"Podravska";"35-44 let";"Moški";"Povpreèje";"2018";1787
"Podravska";"35-44 let";"Moški";"Povpreèje";"2019";1861
"Podravska";"35-44 let";"Ženske";"Povpreèje";"2008";1280
"Podravska";"35-44 let";"Ženske";"Povpreèje";"2009";1356
"Podravska";"35-44 let";"Ženske";"Povpreèje";"2010";1407
"Podravska";"35-44 let";"Ženske";"Povpreèje";"2011";1441
"Podravska";"35-44 let";"Ženske";"Povpreèje";"2012";1461
"Podravska";"35-44 let";"Ženske";"Povpreèje";"2013";1464
"Podravska";"35-44 let";"Ženske";"Povpreèje";"2014";1483
"Podravska";"35-44 let";"Ženske";"Povpreèje";"2015";1484
"Podravska";"35-44 let";"Ženske";"Povpreèje";"2016";1517
"Podravska";"35-44 let";"Ženske";"Povpreèje";"2017";1556
"Podravska";"35-44 let";"Ženske";"Povpreèje";"2018";1588
"Podravska";"35-44 let";"Ženske";"Povpreèje";"2019";1666
"Podravska";"45-54 let";"Moški";"Povpreèje";"2008";1446
"Podravska";"45-54 let";"Moški";"Povpreèje";"2009";1474
"Podravska";"45-54 let";"Moški";"Povpreèje";"2010";1524
"Podravska";"45-54 let";"Moški";"Povpreèje";"2011";1593
"Podravska";"45-54 let";"Moški";"Povpreèje";"2012";1622
"Podravska";"45-54 let";"Moški";"Povpreèje";"2013";1631
"Podravska";"45-54 let";"Moški";"Povpreèje";"2014";1681
"Podravska";"45-54 let";"Moški";"Povpreèje";"2015";1695
"Podravska";"45-54 let";"Moški";"Povpreèje";"2016";1739
"Podravska";"45-54 let";"Moški";"Povpreèje";"2017";1795
"Podravska";"45-54 let";"Moški";"Povpreèje";"2018";1870
"Podravska";"45-54 let";"Moški";"Povpreèje";"2019";1950
"Podravska";"45-54 let";"Ženske";"Povpreèje";"2008";1367
"Podravska";"45-54 let";"Ženske";"Povpreèje";"2009";1457
"Podravska";"45-54 let";"Ženske";"Povpreèje";"2010";1505
"Podravska";"45-54 let";"Ženske";"Povpreèje";"2011";1511
"Podravska";"45-54 let";"Ženske";"Povpreèje";"2012";1528
"Podravska";"45-54 let";"Ženske";"Povpreèje";"2013";1517
"Podravska";"45-54 let";"Ženske";"Povpreèje";"2014";1545
"Podravska";"45-54 let";"Ženske";"Povpreèje";"2015";1539
"Podravska";"45-54 let";"Ženske";"Povpreèje";"2016";1564
"Podravska";"45-54 let";"Ženske";"Povpreèje";"2017";1611
"Podravska";"45-54 let";"Ženske";"Povpreèje";"2018";1653
"Podravska";"45-54 let";"Ženske";"Povpreèje";"2019";1756
"Podravska";"55-64 let";"Moški";"Povpreèje";"2008";1675
"Podravska";"55-64 let";"Moški";"Povpreèje";"2009";1696
"Podravska";"55-64 let";"Moški";"Povpreèje";"2010";1782
"Podravska";"55-64 let";"Moški";"Povpreèje";"2011";1830
"Podravska";"55-64 let";"Moški";"Povpreèje";"2012";1821
"Podravska";"55-64 let";"Moški";"Povpreèje";"2013";1800
"Podravska";"55-64 let";"Moški";"Povpreèje";"2014";1787
"Podravska";"55-64 let";"Moški";"Povpreèje";"2015";1799
"Podravska";"55-64 let";"Moški";"Povpreèje";"2016";1794
"Podravska";"55-64 let";"Moški";"Povpreèje";"2017";1846
"Podravska";"55-64 let";"Moški";"Povpreèje";"2018";1890
"Podravska";"55-64 let";"Moški";"Povpreèje";"2019";1959
"Podravska";"55-64 let";"Ženske";"Povpreèje";"2008";1743
"Podravska";"55-64 let";"Ženske";"Povpreèje";"2009";1844
"Podravska";"55-64 let";"Ženske";"Povpreèje";"2010";1891
"Podravska";"55-64 let";"Ženske";"Povpreèje";"2011";1891
"Podravska";"55-64 let";"Ženske";"Povpreèje";"2012";1879
"Podravska";"55-64 let";"Ženske";"Povpreèje";"2013";1761
"Podravska";"55-64 let";"Ženske";"Povpreèje";"2014";1754
"Podravska";"55-64 let";"Ženske";"Povpreèje";"2015";1762
"Podravska";"55-64 let";"Ženske";"Povpreèje";"2016";1747
"Podravska";"55-64 let";"Ženske";"Povpreèje";"2017";1774
"Podravska";"55-64 let";"Ženske";"Povpreèje";"2018";1788
"Podravska";"55-64 let";"Ženske";"Povpreèje";"2019";1872
"Podravska";"65 let ali veè";"Moški";"Povpreèje";"2008";4086
"Podravska";"65 let ali veè";"Moški";"Povpreèje";"2009";4416
"Podravska";"65 let ali veè";"Moški";"Povpreèje";"2010";4331
"Podravska";"65 let ali veè";"Moški";"Povpreèje";"2011";4162
"Podravska";"65 let ali veè";"Moški";"Povpreèje";"2012";3976
"Podravska";"65 let ali veè";"Moški";"Povpreèje";"2013";3596
"Podravska";"65 let ali veè";"Moški";"Povpreèje";"2014";3666
"Podravska";"65 let ali veè";"Moški";"Povpreèje";"2015";3733
"Podravska";"65 let ali veè";"Moški";"Povpreèje";"2016";3670
"Podravska";"65 let ali veè";"Moški";"Povpreèje";"2017";3496
"Podravska";"65 let ali veè";"Moški";"Povpreèje";"2018";3198
"Podravska";"65 let ali veè";"Moški";"Povpreèje";"2019";3129
"Podravska";"65 let ali veè";"Ženske";"Povpreèje";"2008";3053
"Podravska";"65 let ali veè";"Ženske";"Povpreèje";"2009";3615
"Podravska";"65 let ali veè";"Ženske";"Povpreèje";"2010";3487
"Podravska";"65 let ali veè";"Ženske";"Povpreèje";"2011";3811
"Podravska";"65 let ali veè";"Ženske";"Povpreèje";"2012";4028
"Podravska";"65 let ali veè";"Ženske";"Povpreèje";"2013";3760
"Podravska";"65 let ali veè";"Ženske";"Povpreèje";"2014";3379
"Podravska";"65 let ali veè";"Ženske";"Povpreèje";"2015";3381
"Podravska";"65 let ali veè";"Ženske";"Povpreèje";"2016";3312
"Podravska";"65 let ali veè";"Ženske";"Povpreèje";"2017";3074
"Podravska";"65 let ali veè";"Ženske";"Povpreèje";"2018";3088
"Podravska";"65 let ali veè";"Ženske";"Povpreèje";"2019";3111
"Koroška";"15-64 let";"Moški";"Povpreèje";"2008";1368
"Koroška";"15-64 let";"Moški";"Povpreèje";"2009";1367
"Koroška";"15-64 let";"Moški";"Povpreèje";"2010";1435
"Koroška";"15-64 let";"Moški";"Povpreèje";"2011";1498
"Koroška";"15-64 let";"Moški";"Povpreèje";"2012";1513
"Koroška";"15-64 let";"Moški";"Povpreèje";"2013";1526
"Koroška";"15-64 let";"Moški";"Povpreèje";"2014";1569
"Koroška";"15-64 let";"Moški";"Povpreèje";"2015";z
"Koroška";"15-64 let";"Moški";"Povpreèje";"2016";z
"Koroška";"15-64 let";"Moški";"Povpreèje";"2017";1713
"Koroška";"15-64 let";"Moški";"Povpreèje";"2018";1775
"Koroška";"15-64 let";"Moški";"Povpreèje";"2019";1822
"Koroška";"15-64 let";"Ženske";"Povpreèje";"2008";1252
"Koroška";"15-64 let";"Ženske";"Povpreèje";"2009";1318
"Koroška";"15-64 let";"Ženske";"Povpreèje";"2010";1419
"Koroška";"15-64 let";"Ženske";"Povpreèje";"2011";1442
"Koroška";"15-64 let";"Ženske";"Povpreèje";"2012";1455
"Koroška";"15-64 let";"Ženske";"Povpreèje";"2013";1454
"Koroška";"15-64 let";"Ženske";"Povpreèje";"2014";1480
"Koroška";"15-64 let";"Ženske";"Povpreèje";"2015";z
"Koroška";"15-64 let";"Ženske";"Povpreèje";"2016";z
"Koroška";"15-64 let";"Ženske";"Povpreèje";"2017";1558
"Koroška";"15-64 let";"Ženske";"Povpreèje";"2018";1591
"Koroška";"15-64 let";"Ženske";"Povpreèje";"2019";1659
"Koroška";"15-24 let";"Moški";"Povpreèje";"2008";954
"Koroška";"15-24 let";"Moški";"Povpreèje";"2009";930
"Koroška";"15-24 let";"Moški";"Povpreèje";"2010";1005
"Koroška";"15-24 let";"Moški";"Povpreèje";"2011";1078
"Koroška";"15-24 let";"Moški";"Povpreèje";"2012";1077
"Koroška";"15-24 let";"Moški";"Povpreèje";"2013";1090
"Koroška";"15-24 let";"Moški";"Povpreèje";"2014";1138
"Koroška";"15-24 let";"Moški";"Povpreèje";"2015";z
"Koroška";"15-24 let";"Moški";"Povpreèje";"2016";z
"Koroška";"15-24 let";"Moški";"Povpreèje";"2017";1273
"Koroška";"15-24 let";"Moški";"Povpreèje";"2018";1293
"Koroška";"15-24 let";"Moški";"Povpreèje";"2019";1335
"Koroška";"15-24 let";"Ženske";"Povpreèje";"2008";811
"Koroška";"15-24 let";"Ženske";"Povpreèje";"2009";865
"Koroška";"15-24 let";"Ženske";"Povpreèje";"2010";914
"Koroška";"15-24 let";"Ženske";"Povpreèje";"2011";951
"Koroška";"15-24 let";"Ženske";"Povpreèje";"2012";980
"Koroška";"15-24 let";"Ženske";"Povpreèje";"2013";910
"Koroška";"15-24 let";"Ženske";"Povpreèje";"2014";878
"Koroška";"15-24 let";"Ženske";"Povpreèje";"2015";z
"Koroška";"15-24 let";"Ženske";"Povpreèje";"2016";z
"Koroška";"15-24 let";"Ženske";"Povpreèje";"2017";1028
"Koroška";"15-24 let";"Ženske";"Povpreèje";"2018";1042
"Koroška";"15-24 let";"Ženske";"Povpreèje";"2019";1095
"Koroška";"25-34 let";"Moški";"Povpreèje";"2008";1220
"Koroška";"25-34 let";"Moški";"Povpreèje";"2009";1208
"Koroška";"25-34 let";"Moški";"Povpreèje";"2010";1253
"Koroška";"25-34 let";"Moški";"Povpreèje";"2011";1306
"Koroška";"25-34 let";"Moški";"Povpreèje";"2012";1316
"Koroška";"25-34 let";"Moški";"Povpreèje";"2013";1325
"Koroška";"25-34 let";"Moški";"Povpreèje";"2014";1359
"Koroška";"25-34 let";"Moški";"Povpreèje";"2015";1397
"Koroška";"25-34 let";"Moški";"Povpreèje";"2016";1432
"Koroška";"25-34 let";"Moški";"Povpreèje";"2017";1496
"Koroška";"25-34 let";"Moški";"Povpreèje";"2018";1565
"Koroška";"25-34 let";"Moški";"Povpreèje";"2019";1593
"Koroška";"25-34 let";"Ženske";"Povpreèje";"2008";1088
"Koroška";"25-34 let";"Ženske";"Povpreèje";"2009";1105
"Koroška";"25-34 let";"Ženske";"Povpreèje";"2010";1183
"Koroška";"25-34 let";"Ženske";"Povpreèje";"2011";1194
"Koroška";"25-34 let";"Ženske";"Povpreèje";"2012";1204
"Koroška";"25-34 let";"Ženske";"Povpreèje";"2013";1191
"Koroška";"25-34 let";"Ženske";"Povpreèje";"2014";1202
"Koroška";"25-34 let";"Ženske";"Povpreèje";"2015";1232
"Koroška";"25-34 let";"Ženske";"Povpreèje";"2016";1256
