"Povpreène meseène bruto plaèe (EUR) po skupinah poklicev (SKP-08) in spolu, Slovenija, letno"

"POKLIC";"SPOL";"MERITVE";"LETO";Povpreène meseène bruto plaèe (EUR, SKP-08)
"111 Zakonodajalci/zakonodajalke in visoki uradniki/visoke uradnice";"Ženske";"Povpreèje";"2014";-
"111 Zakonodajalci/zakonodajalke in visoki uradniki/visoke uradnice";"Ženske";"Povpreèje";"2015";-
"111 Zakonodajalci/zakonodajalke in visoki uradniki/visoke uradnice";"Ženske";"Povpreèje";"2016";-
"111 Zakonodajalci/zakonodajalke in visoki uradniki/visoke uradnice";"Ženske";"Povpreèje";"2017";-
"111 Zakonodajalci/zakonodajalke in visoki uradniki/visoke uradnice";"Ženske";"Povpreèje";"2018";-
"111 Zakonodajalci/zakonodajalke in visoki uradniki/visoke uradnice";"Ženske";"Povpreèje";"2019";3158
"1111 Zakonodajalci/zakonodajalke";"Moški";"Povpreèje";"2011";-
"1111 Zakonodajalci/zakonodajalke";"Moški";"Povpreèje";"2012";-
"1111 Zakonodajalci/zakonodajalke";"Moški";"Povpreèje";"2013";-
"1111 Zakonodajalci/zakonodajalke";"Moški";"Povpreèje";"2014";-
"1111 Zakonodajalci/zakonodajalke";"Moški";"Povpreèje";"2015";-
"1111 Zakonodajalci/zakonodajalke";"Moški";"Povpreèje";"2016";-
"1111 Zakonodajalci/zakonodajalke";"Moški";"Povpreèje";"2017";-
"1111 Zakonodajalci/zakonodajalke";"Moški";"Povpreèje";"2018";-
"1111 Zakonodajalci/zakonodajalke";"Moški";"Povpreèje";"2019";3674
"1111 Zakonodajalci/zakonodajalke";"Ženske";"Povpreèje";"2011";-
"1111 Zakonodajalci/zakonodajalke";"Ženske";"Povpreèje";"2012";-
"1111 Zakonodajalci/zakonodajalke";"Ženske";"Povpreèje";"2013";-
"1111 Zakonodajalci/zakonodajalke";"Ženske";"Povpreèje";"2014";-
"1111 Zakonodajalci/zakonodajalke";"Ženske";"Povpreèje";"2015";-
"1111 Zakonodajalci/zakonodajalke";"Ženske";"Povpreèje";"2016";-
"1111 Zakonodajalci/zakonodajalke";"Ženske";"Povpreèje";"2017";-
"1111 Zakonodajalci/zakonodajalke";"Ženske";"Povpreèje";"2018";-
"1111 Zakonodajalci/zakonodajalke";"Ženske";"Povpreèje";"2019";3610
"1112 Visoki državni uradniki/visoke državne uradnice";"Moški";"Povpreèje";"2011";-
"1112 Visoki državni uradniki/visoke državne uradnice";"Moški";"Povpreèje";"2012";-
"1112 Visoki državni uradniki/visoke državne uradnice";"Moški";"Povpreèje";"2013";-
"1112 Visoki državni uradniki/visoke državne uradnice";"Moški";"Povpreèje";"2014";-
"1112 Visoki državni uradniki/visoke državne uradnice";"Moški";"Povpreèje";"2015";-
"1112 Visoki državni uradniki/visoke državne uradnice";"Moški";"Povpreèje";"2016";-
"1112 Visoki državni uradniki/visoke državne uradnice";"Moški";"Povpreèje";"2017";-
"1112 Visoki državni uradniki/visoke državne uradnice";"Moški";"Povpreèje";"2018";-
"1112 Visoki državni uradniki/visoke državne uradnice";"Moški";"Povpreèje";"2019";3447
"1112 Visoki državni uradniki/visoke državne uradnice";"Ženske";"Povpreèje";"2011";-
"1112 Visoki državni uradniki/visoke državne uradnice";"Ženske";"Povpreèje";"2012";-
"1112 Visoki državni uradniki/visoke državne uradnice";"Ženske";"Povpreèje";"2013";-
"1112 Visoki državni uradniki/visoke državne uradnice";"Ženske";"Povpreèje";"2014";-
"1112 Visoki državni uradniki/visoke državne uradnice";"Ženske";"Povpreèje";"2015";-
"1112 Visoki državni uradniki/visoke državne uradnice";"Ženske";"Povpreèje";"2016";-
"1112 Visoki državni uradniki/visoke državne uradnice";"Ženske";"Povpreèje";"2017";-
"1112 Visoki državni uradniki/visoke državne uradnice";"Ženske";"Povpreèje";"2018";-
"1112 Visoki državni uradniki/visoke državne uradnice";"Ženske";"Povpreèje";"2019";3180
"1114 Visoki uradniki/visoke uradnice interesnih organizacij";"Moški";"Povpreèje";"2011";-
"1114 Visoki uradniki/visoke uradnice interesnih organizacij";"Moški";"Povpreèje";"2012";-
"1114 Visoki uradniki/visoke uradnice interesnih organizacij";"Moški";"Povpreèje";"2013";-
"1114 Visoki uradniki/visoke uradnice interesnih organizacij";"Moški";"Povpreèje";"2014";-
"1114 Visoki uradniki/visoke uradnice interesnih organizacij";"Moški";"Povpreèje";"2015";-
"1114 Visoki uradniki/visoke uradnice interesnih organizacij";"Moški";"Povpreèje";"2016";-
"1114 Visoki uradniki/visoke uradnice interesnih organizacij";"Moški";"Povpreèje";"2017";-
"1114 Visoki uradniki/visoke uradnice interesnih organizacij";"Moški";"Povpreèje";"2018";-
"1114 Visoki uradniki/visoke uradnice interesnih organizacij";"Moški";"Povpreèje";"2019";3403
"1114 Visoki uradniki/visoke uradnice interesnih organizacij";"Ženske";"Povpreèje";"2011";-
"1114 Visoki uradniki/visoke uradnice interesnih organizacij";"Ženske";"Povpreèje";"2012";-
"1114 Visoki uradniki/visoke uradnice interesnih organizacij";"Ženske";"Povpreèje";"2013";-
"1114 Visoki uradniki/visoke uradnice interesnih organizacij";"Ženske";"Povpreèje";"2014";-
"1114 Visoki uradniki/visoke uradnice interesnih organizacij";"Ženske";"Povpreèje";"2015";-
"1114 Visoki uradniki/visoke uradnice interesnih organizacij";"Ženske";"Povpreèje";"2016";-
"1114 Visoki uradniki/visoke uradnice interesnih organizacij";"Ženske";"Povpreèje";"2017";-
"1114 Visoki uradniki/visoke uradnice interesnih organizacij";"Ženske";"Povpreèje";"2018";-
"1114 Visoki uradniki/visoke uradnice interesnih organizacij";"Ženske";"Povpreèje";"2019";2934
"112 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Moški";"Povpreèje";"2011";-
"112 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Moški";"Povpreèje";"2012";-
"112 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Moški";"Povpreèje";"2013";-
"112 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Moški";"Povpreèje";"2014";-
"112 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Moški";"Povpreèje";"2015";-
"112 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Moški";"Povpreèje";"2016";-
"112 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Moški";"Povpreèje";"2017";-
"112 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Moški";"Povpreèje";"2018";-
"112 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Moški";"Povpreèje";"2019";9425
"112 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Ženske";"Povpreèje";"2011";-
"112 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Ženske";"Povpreèje";"2012";-
"112 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Ženske";"Povpreèje";"2013";-
"112 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Ženske";"Povpreèje";"2014";-
"112 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Ženske";"Povpreèje";"2015";-
"112 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Ženske";"Povpreèje";"2016";-
"112 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Ženske";"Povpreèje";"2017";-
"112 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Ženske";"Povpreèje";"2018";-
"112 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Ženske";"Povpreèje";"2019";6476
"1120 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Moški";"Povpreèje";"2011";-
"1120 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Moški";"Povpreèje";"2012";-
"1120 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Moški";"Povpreèje";"2013";-
"1120 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Moški";"Povpreèje";"2014";-
"1120 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Moški";"Povpreèje";"2015";-
"1120 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Moški";"Povpreèje";"2016";-
"1120 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Moški";"Povpreèje";"2017";-
"1120 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Moški";"Povpreèje";"2018";-
"1120 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Moški";"Povpreèje";"2019";9425
"1120 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Ženske";"Povpreèje";"2011";-
"1120 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Ženske";"Povpreèje";"2012";-
"1120 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Ženske";"Povpreèje";"2013";-
"1120 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Ženske";"Povpreèje";"2014";-
"1120 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Ženske";"Povpreèje";"2015";-
"1120 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Ženske";"Povpreèje";"2016";-
"1120 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Ženske";"Povpreèje";"2017";-
"1120 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Ženske";"Povpreèje";"2018";-
"1120 Generalni direktorji/generalne direktorice in èlani/èlanice uprave družbe";"Ženske";"Povpreèje";"2019";6476
"12 Menedžerji za splošne poslovne funkcije in komercialo";"Moški";"Povpreèje";"2011";3147
"12 Menedžerji za splošne poslovne funkcije in komercialo";"Moški";"Povpreèje";"2012";3290
"12 Menedžerji za splošne poslovne funkcije in komercialo";"Moški";"Povpreèje";"2013";3117
"12 Menedžerji za splošne poslovne funkcije in komercialo";"Moški";"Povpreèje";"2014";3043
"12 Menedžerji za splošne poslovne funkcije in komercialo";"Moški";"Povpreèje";"2015";3039
"12 Menedžerji za splošne poslovne funkcije in komercialo";"Moški";"Povpreèje";"2016";3042
"12 Menedžerji za splošne poslovne funkcije in komercialo";"Moški";"Povpreèje";"2017";3053
"12 Menedžerji za splošne poslovne funkcije in komercialo";"Moški";"Povpreèje";"2018";3125
"12 Menedžerji za splošne poslovne funkcije in komercialo";"Moški";"Povpreèje";"2019";3190
"12 Menedžerji za splošne poslovne funkcije in komercialo";"Ženske";"Povpreèje";"2011";3039
"12 Menedžerji za splošne poslovne funkcije in komercialo";"Ženske";"Povpreèje";"2012";3093
"12 Menedžerji za splošne poslovne funkcije in komercialo";"Ženske";"Povpreèje";"2013";3033
"12 Menedžerji za splošne poslovne funkcije in komercialo";"Ženske";"Povpreèje";"2014";3044
"12 Menedžerji za splošne poslovne funkcije in komercialo";"Ženske";"Povpreèje";"2015";3075
"12 Menedžerji za splošne poslovne funkcije in komercialo";"Ženske";"Povpreèje";"2016";3044
"12 Menedžerji za splošne poslovne funkcije in komercialo";"Ženske";"Povpreèje";"2017";3070
"12 Menedžerji za splošne poslovne funkcije in komercialo";"Ženske";"Povpreèje";"2018";3138
"12 Menedžerji za splošne poslovne funkcije in komercialo";"Ženske";"Povpreèje";"2019";3182
"121 Menedžerji/menedžerke za splošne poslovne funkcije";"Moški";"Povpreèje";"2011";-
"121 Menedžerji/menedžerke za splošne poslovne funkcije";"Moški";"Povpreèje";"2012";-
"121 Menedžerji/menedžerke za splošne poslovne funkcije";"Moški";"Povpreèje";"2013";-
"121 Menedžerji/menedžerke za splošne poslovne funkcije";"Moški";"Povpreèje";"2014";-
"121 Menedžerji/menedžerke za splošne poslovne funkcije";"Moški";"Povpreèje";"2015";-
"121 Menedžerji/menedžerke za splošne poslovne funkcije";"Moški";"Povpreèje";"2016";-
"121 Menedžerji/menedžerke za splošne poslovne funkcije";"Moški";"Povpreèje";"2017";-
"121 Menedžerji/menedžerke za splošne poslovne funkcije";"Moški";"Povpreèje";"2018";-
"121 Menedžerji/menedžerke za splošne poslovne funkcije";"Moški";"Povpreèje";"2019";2959
"121 Menedžerji/menedžerke za splošne poslovne funkcije";"Ženske";"Povpreèje";"2011";-
"121 Menedžerji/menedžerke za splošne poslovne funkcije";"Ženske";"Povpreèje";"2012";-
"121 Menedžerji/menedžerke za splošne poslovne funkcije";"Ženske";"Povpreèje";"2013";-
"121 Menedžerji/menedžerke za splošne poslovne funkcije";"Ženske";"Povpreèje";"2014";-
"121 Menedžerji/menedžerke za splošne poslovne funkcije";"Ženske";"Povpreèje";"2015";-
"121 Menedžerji/menedžerke za splošne poslovne funkcije";"Ženske";"Povpreèje";"2016";-
"121 Menedžerji/menedžerke za splošne poslovne funkcije";"Ženske";"Povpreèje";"2017";-
"121 Menedžerji/menedžerke za splošne poslovne funkcije";"Ženske";"Povpreèje";"2018";-
"121 Menedžerji/menedžerke za splošne poslovne funkcije";"Ženske";"Povpreèje";"2019";3244
"1211 Finanèni menedžerji/finanène menedžerke";"Moški";"Povpreèje";"2011";-
"1211 Finanèni menedžerji/finanène menedžerke";"Moški";"Povpreèje";"2012";-
"1211 Finanèni menedžerji/finanène menedžerke";"Moški";"Povpreèje";"2013";-
"1211 Finanèni menedžerji/finanène menedžerke";"Moški";"Povpreèje";"2014";-
"1211 Finanèni menedžerji/finanène menedžerke";"Moški";"Povpreèje";"2015";-
"1211 Finanèni menedžerji/finanène menedžerke";"Moški";"Povpreèje";"2016";-
"1211 Finanèni menedžerji/finanène menedžerke";"Moški";"Povpreèje";"2017";-
"1211 Finanèni menedžerji/finanène menedžerke";"Moški";"Povpreèje";"2018";-
"1211 Finanèni menedžerji/finanène menedžerke";"Moški";"Povpreèje";"2019";4486
"1211 Finanèni menedžerji/finanène menedžerke";"Ženske";"Povpreèje";"2011";-
"1211 Finanèni menedžerji/finanène menedžerke";"Ženske";"Povpreèje";"2012";-
"1211 Finanèni menedžerji/finanène menedžerke";"Ženske";"Povpreèje";"2013";-
"1211 Finanèni menedžerji/finanène menedžerke";"Ženske";"Povpreèje";"2014";-
"1211 Finanèni menedžerji/finanène menedžerke";"Ženske";"Povpreèje";"2015";-
"1211 Finanèni menedžerji/finanène menedžerke";"Ženske";"Povpreèje";"2016";-
"1211 Finanèni menedžerji/finanène menedžerke";"Ženske";"Povpreèje";"2017";-
"1211 Finanèni menedžerji/finanène menedžerke";"Ženske";"Povpreèje";"2018";-
"1211 Finanèni menedžerji/finanène menedžerke";"Ženske";"Povpreèje";"2019";4007
"1212 Menedžerji/menedžerke za kadrovske in splošne zadeve";"Moški";"Povpreèje";"2011";-
"1212 Menedžerji/menedžerke za kadrovske in splošne zadeve";"Moški";"Povpreèje";"2012";-
"1212 Menedžerji/menedžerke za kadrovske in splošne zadeve";"Moški";"Povpreèje";"2013";-
"1212 Menedžerji/menedžerke za kadrovske in splošne zadeve";"Moški";"Povpreèje";"2014";-
"1212 Menedžerji/menedžerke za kadrovske in splošne zadeve";"Moški";"Povpreèje";"2015";-
"1212 Menedžerji/menedžerke za kadrovske in splošne zadeve";"Moški";"Povpreèje";"2016";-
"1212 Menedžerji/menedžerke za kadrovske in splošne zadeve";"Moški";"Povpreèje";"2017";-
"1212 Menedžerji/menedžerke za kadrovske in splošne zadeve";"Moški";"Povpreèje";"2018";-
"1212 Menedžerji/menedžerke za kadrovske in splošne zadeve";"Moški";"Povpreèje";"2019";2896
"1212 Menedžerji/menedžerke za kadrovske in splošne zadeve";"Ženske";"Povpreèje";"2011";-
"1212 Menedžerji/menedžerke za kadrovske in splošne zadeve";"Ženske";"Povpreèje";"2012";-
"1212 Menedžerji/menedžerke za kadrovske in splošne zadeve";"Ženske";"Povpreèje";"2013";-
"1212 Menedžerji/menedžerke za kadrovske in splošne zadeve";"Ženske";"Povpreèje";"2014";-
"1212 Menedžerji/menedžerke za kadrovske in splošne zadeve";"Ženske";"Povpreèje";"2015";-
"1212 Menedžerji/menedžerke za kadrovske in splošne zadeve";"Ženske";"Povpreèje";"2016";-
"1212 Menedžerji/menedžerke za kadrovske in splošne zadeve";"Ženske";"Povpreèje";"2017";-
"1212 Menedžerji/menedžerke za kadrovske in splošne zadeve";"Ženske";"Povpreèje";"2018";-
"1212 Menedžerji/menedžerke za kadrovske in splošne zadeve";"Ženske";"Povpreèje";"2019";3164
"1213 Menedžerji/menedžerke za oblikovanje politik in strateško naèrtovanje";"Moški";"Povpreèje";"2011";-
"1213 Menedžerji/menedžerke za oblikovanje politik in strateško naèrtovanje";"Moški";"Povpreèje";"2012";-
"1213 Menedžerji/menedžerke za oblikovanje politik in strateško naèrtovanje";"Moški";"Povpreèje";"2013";-
"1213 Menedžerji/menedžerke za oblikovanje politik in strateško naèrtovanje";"Moški";"Povpreèje";"2014";-
"1213 Menedžerji/menedžerke za oblikovanje politik in strateško naèrtovanje";"Moški";"Povpreèje";"2015";-
"1213 Menedžerji/menedžerke za oblikovanje politik in strateško naèrtovanje";"Moški";"Povpreèje";"2016";-
"1213 Menedžerji/menedžerke za oblikovanje politik in strateško naèrtovanje";"Moški";"Povpreèje";"2017";-
"1213 Menedžerji/menedžerke za oblikovanje politik in strateško naèrtovanje";"Moški";"Povpreèje";"2018";-
"1213 Menedžerji/menedžerke za oblikovanje politik in strateško naèrtovanje";"Moški";"Povpreèje";"2019";2244
"1213 Menedžerji/menedžerke za oblikovanje politik in strateško naèrtovanje";"Ženske";"Povpreèje";"2011";-
"1213 Menedžerji/menedžerke za oblikovanje politik in strateško naèrtovanje";"Ženske";"Povpreèje";"2012";-
"1213 Menedžerji/menedžerke za oblikovanje politik in strateško naèrtovanje";"Ženske";"Povpreèje";"2013";-
"1213 Menedžerji/menedžerke za oblikovanje politik in strateško naèrtovanje";"Ženske";"Povpreèje";"2014";-
"1213 Menedžerji/menedžerke za oblikovanje politik in strateško naèrtovanje";"Ženske";"Povpreèje";"2015";-
"1213 Menedžerji/menedžerke za oblikovanje politik in strateško naèrtovanje";"Ženske";"Povpreèje";"2016";-
"1213 Menedžerji/menedžerke za oblikovanje politik in strateško naèrtovanje";"Ženske";"Povpreèje";"2017";-
"1213 Menedžerji/menedžerke za oblikovanje politik in strateško naèrtovanje";"Ženske";"Povpreèje";"2018";-
"1213 Menedžerji/menedžerke za oblikovanje politik in strateško naèrtovanje";"Ženske";"Povpreèje";"2019";2419
"1219 Menedžerji/menedžerke za splošne poslovne funkcije, d. n.";"Moški";"Povpreèje";"2011";-
"1219 Menedžerji/menedžerke za splošne poslovne funkcije, d. n.";"Moški";"Povpreèje";"2012";-
"1219 Menedžerji/menedžerke za splošne poslovne funkcije, d. n.";"Moški";"Povpreèje";"2013";-
"1219 Menedžerji/menedžerke za splošne poslovne funkcije, d. n.";"Moški";"Povpreèje";"2014";-
"1219 Menedžerji/menedžerke za splošne poslovne funkcije, d. n.";"Moški";"Povpreèje";"2015";-
"1219 Menedžerji/menedžerke za splošne poslovne funkcije, d. n.";"Moški";"Povpreèje";"2016";-
"1219 Menedžerji/menedžerke za splošne poslovne funkcije, d. n.";"Moški";"Povpreèje";"2017";-
"1219 Menedžerji/menedžerke za splošne poslovne funkcije, d. n.";"Moški";"Povpreèje";"2018";-
"1219 Menedžerji/menedžerke za splošne poslovne funkcije, d. n.";"Moški";"Povpreèje";"2019";2633
"1219 Menedžerji/menedžerke za splošne poslovne funkcije, d. n.";"Ženske";"Povpreèje";"2011";-
"1219 Menedžerji/menedžerke za splošne poslovne funkcije, d. n.";"Ženske";"Povpreèje";"2012";-
"1219 Menedžerji/menedžerke za splošne poslovne funkcije, d. n.";"Ženske";"Povpreèje";"2013";-
"1219 Menedžerji/menedžerke za splošne poslovne funkcije, d. n.";"Ženske";"Povpreèje";"2014";-
"1219 Menedžerji/menedžerke za splošne poslovne funkcije, d. n.";"Ženske";"Povpreèje";"2015";-
"1219 Menedžerji/menedžerke za splošne poslovne funkcije, d. n.";"Ženske";"Povpreèje";"2016";-
"1219 Menedžerji/menedžerke za splošne poslovne funkcije, d. n.";"Ženske";"Povpreèje";"2017";-
"1219 Menedžerji/menedžerke za splošne poslovne funkcije, d. n.";"Ženske";"Povpreèje";"2018";-
"1219 Menedžerji/menedžerke za splošne poslovne funkcije, d. n.";"Ženske";"Povpreèje";"2019";2626
"122 Menedžerji/menedžerke za trženje, prodajo in razvoj";"Moški";"Povpreèje";"2011";-
"122 Menedžerji/menedžerke za trženje, prodajo in razvoj";"Moški";"Povpreèje";"2012";-
"122 Menedžerji/menedžerke za trženje, prodajo in razvoj";"Moški";"Povpreèje";"2013";-
"122 Menedžerji/menedžerke za trženje, prodajo in razvoj";"Moški";"Povpreèje";"2014";-
"122 Menedžerji/menedžerke za trženje, prodajo in razvoj";"Moški";"Povpreèje";"2015";-
"122 Menedžerji/menedžerke za trženje, prodajo in razvoj";"Moški";"Povpreèje";"2016";-
"122 Menedžerji/menedžerke za trženje, prodajo in razvoj";"Moški";"Povpreèje";"2017";-
"122 Menedžerji/menedžerke za trženje, prodajo in razvoj";"Moški";"Povpreèje";"2018";-
